;Vviento00;Vviento01;Vviento02;Vviento03;Vviento04;Vviento05;Vviento06;Vviento07;Vviento08;Vviento09;Vviento10;Vviento11;Vviento12;Vviento13;Vviento14;Vviento15;Vviento16;Vviento17;Vviento18;Vviento19;Vviento20;Vviento21;Vviento22;Vviento23;AlturaOlas00;AlturaOlas01;AlturaOlas02;AlturaOlas03;AlturaOlas04;AlturaOlas05;AlturaOlas06;AlturaOlas07;AlturaOlas08;AlturaOlas09;AlturaOlas10;AlturaOlas11;AlturaOlas12;AlturaOlas13;AlturaOlas14;AlturaOlas15;AlturaOlas16;AlturaOlas17;AlturaOlas18;AlturaOlas19;AlturaOlas20;AlturaOlas21;AlturaOlas22;AlturaOlas23;PeriodoOlas00;PeriodoOlas01;PeriodoOlas02;PeriodoOlas03;PeriodoOlas04;PeriodoOlas05;PeriodoOlas06;PeriodoOlas07;PeriodoOlas08;PeriodoOlas09;PeriodoOlas10;PeriodoOlas11;PeriodoOlas12;PeriodoOlas13;PeriodoOlas14;PeriodoOlas15;PeriodoOlas16;PeriodoOlas17;PeriodoOlas18;PeriodoOlas19;PeriodoOlas20;PeriodoOlas21;PeriodoOlas22;PeriodoOlas23;Temperatura00;Temperatura01;Temperatura02;Temperatura03;Temperatura04;Temperatura05;Temperatura06;Temperatura07;Temperatura08;Temperatura09;Temperatura10;Temperatura11;Temperatura12;Temperatura13;Temperatura14;Temperatura15;Temperatura16;Temperatura17;Temperatura18;Temperatura19;Temperatura20;Temperatura21;Temperatura22;Temperatura23;Lluvia00;Lluvia01;Lluvia02;Lluvia03;Lluvia04;Lluvia05;Lluvia06;Lluvia07;Lluvia08;Lluvia09;Lluvia10;Lluvia11;Lluvia12;Lluvia13;Lluvia14;Lluvia15;Lluvia16;Lluvia17;Lluvia18;Lluvia19;Lluvia20;Lluvia21;Lluvia22;Lluvia23;Nubosidad00;Nubosidad01;Nubosidad02;Nubosidad03;Nubosidad04;Nubosidad05;Nubosidad06;Nubosidad07;Nubosidad08;Nubosidad09;Nubosidad10;Nubosidad11;Nubosidad12;Nubosidad13;Nubosidad14;Nubosidad15;Nubosidad16;Nubosidad17;Nubosidad18;Nubosidad19;Nubosidad20;Nubosidad21;Nubosidad22;Nubosidad23
22.05.2022;12;12;13;13;13;12;11;10;9;10;10;13;14;15;16;17;18;15;14;13;14;12;10;11;1.1;1.1;1.1;1.1;1.1;1.1;1;1;0.9;0.9;0.9;0.9;0.9;1;1;1.2;1.3;1.3;1.2;1.1;1.2;1.2;1.2;1.2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;13;13;13;13;13;13;13;13;13;14;14;14;15;15;15;15;15;15;14;13;13;12;11;10;;;;0.1;;0.1;;;;;0.1;;;;;;0.1;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;66;100;29;100;6;;;6
23.05.2022;9;6;4;3;3;5;6;5;7;8;8;7;8;7;9;12;12;12;12;11;10;8;8;8;1.1;1;1;0.9;0.9;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.7;0.7;0.7;0.7;0.7;0.8;0.8;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;9;9;8;8;8;10;9;10;11;12;13;13;14;14;14;14;14;14;13;12;12;10;9;8;;;;;;;;;;0.1;0.1;0.4;0.6;0.8;0.9;0.9;0.7;0.6;0.3;0.2;;;;;12;100;93;100;100;100;100;100;100;100;63;100;26;65;98;92;36;15;20;12;17;;;8
24.05.2022;8;7;6;6;6;5;5;4;4;6;6;6;6;7;8;9;10;9;10;9;7;7;9;12;0.8;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.9;1;1.2;7;7;7;7;7;15;15;15;15;15;15;15;15;8;8;8;8;8;4;4;5;6;6;6;8;7;7;7;6;6;6;8;9;11;12;14;14;14;14;14;15;15;14;13;12;11;11;11;;;;;;;;;;;;0.1;0.2;0.4;0.3;0.3;0.4;0.3;0.4;0.1;;;;;8;8;;;;;;7;6;6;19;30;70;95;81;97;99;100;100;100;100;100;100;100
25.05.2022;14;15;17;19;16;16;15;15;12;12;12;14;15;15;14;14;15;15;13;11;10;9;8;8;1.3;1.5;1.6;1.7;1.7;1.7;1.8;1.9;1.8;1.6;1.5;1.5;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.3;1.3;1.2;1.2;1.1;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;11;11;12;12;12;12;12;13;13;14;15;16;16;16;16;16;16;15;14;14;13;11;11;0.1;0.2;0.3;0.1;0.3;0.1;0.1;0.1;0.3;0.1;0.1;0.1;0.1;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;83;100;75;100;100;;60;25;;100;100;17;19
26.05.2022;9;10;12;14;15;17;17;16;16;15;15;14;13;13;12;12;11;8;7;9;8;7;7;7;1.1;1.2;1.3;1.4;1.4;1.6;1.7;1.7;1.7;1.8;1.7;1.7;1.7;1.6;1.6;1.6;1.5;1.4;1.3;1.3;1.2;1.2;1.1;1;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;11;11;11;12;12;13;14;14;14;14;14;14;15;15;15;15;15;14;14;15;14;12;10;9;;;;;;;;;;;;;;;;0.1;0.1;0.1;0.1;0.1;;;;;49;99;38;100;85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;61;81;100;39;88
27.05.2022;7;7;6;4;4;4;4;4;4;7;7;5;4;5;6;7;8;9;8;7;7;6;4;5;1;1;0.9;0.9;0.8;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.6;0.6;0.5;0.6;0.6;0.6;0.5;6;7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;8;8;7;7;7;6;6;8;10;11;13;14;14;15;16;16;16;16;15;15;14;12;12;11;;;;;;;;;;;;;;;;;;;;;;;;;71;65;99;70;60;67;62;100;26;24;25;13;17;17;11;6;51;31;25;24;19;31;83;100
28.05.2022;6;7;7;6;7;7;7;6;6;5;4;3;2;4;6;6;6;7;7;6;5;4;2;2;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;6;6;6;6;12;12;12;12;12;12;12;12;12;12;7;7;7;6;6;11;17;17;17;17;10;9;8;8;7;7;6;8;10;12;13;14;15;16;16;15;15;14;13;12;12;11;10;9;;;;;;;;;;;;;;;;;;;;;;;;;100;76;68;12;6;12;12;35;53;10;18;15;55;13;15;14;30;24;52;37;96;79;75;55
29.05.2022;3;3;3;4;5;5;5;7;9;11;10;9;8;5;4;4;5;7;10;8;7;6;5;5;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.5;0.7;0.7;0.7;0.7;0.6;17;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;12;12;11;4;4;4;4;4;9;8;8;8;8;8;8;8;9;10;11;13;14;15;15;15;15;12;12;12;12;11;9;7;;;;;;;;;;;;;;;;;;0.1;;;;;;;100;86;89;100;100;100;100;91;100;100;100;100;42;;;5;53;100;100;100;100;100;100;27
30.05.2022;5;4;5;8;7;7;8;7;7;7;8;8;9;7;7;7;6;7;7;6;6;6;6;6;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.5;0.4;0.4;0.4;0.4;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;7;9;9;7;6;5;5;7;8;9;10;11;12;12;13;14;13;12;12;11;10;10;9;8;;;;;;;;;;;;;0.1;0.1;0.1;0.1;0.2;0.4;0.6;0.4;0.3;0.2;0.1;0.1;100;99;100;71;38;7;7;26;100;100;100;100;100;100;86;95;100;100;100;100;100;72;94;100
31.05.2022;7;8;8;8;8;8;8;8;10;11;11;10;9;8;8;8;8;8;7;8;7;6;6;6;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;9;9;9;9;9;9;9;9;9;13;13;13;13;13;13;9;8;8;13;13;13;13;13;13;8;7;7;6;6;5;5;7;8;10;11;13;14;15;14;14;14;15;13;13;12;11;10;9;;;;;;;;;;;;;;0.1;0.1;;0.1;;0.1;0.3;0.3;0.1;0.1;;100;74;11;8;7;14;13;30;10;;5;;66;46;97;100;100;79;100;93;39;31;46;48
01.06.2022;6;6;6;7;7;7;7;8;10;10;9;9;7;5;2;4;8;6;5;4;4;4;3;3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;13;13;12;12;12;12;12;12;12;12;12;12;12;12;15;15;15;15;15;15;15;8;7;7;8;8;8;7;7;6;7;8;9;10;12;13;14;15;15;15;13;13;13;13;12;11;10;9;;;;;;;;;;;;;;;;;;;;;;;;;47;22;62;100;81;39;17;73;18;13;18;81;66;46;92;100;100;100;59;100;100;29;11;12
02.06.2022;2;1;1;1;2;2;2;1;1;2;5;6;7;8;8;8;9;8;8;8;7;6;5;5;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.5;0.5;0.6;0.7;0.8;0.8;0.9;0.9;1;1;1.1;1.1;7;7;7;7;7;7;11;10;10;10;10;14;14;14;14;13;13;13;12;12;12;12;12;12;9;9;8;8;8;7;7;9;11;13;13;14;14;14;14;15;14;14;14;13;12;11;11;11;;;;;;;;;;;;;;;;;;;;;0.1;0.4;1.5;1.9;19;100;99;17;35;83;100;73;72;20;14;12;17;100;88;82;91;100;100;100;100;100;100;100
03.06.2022;4;2;4;4;5;6;6;6;8;10;9;8;7;4;3;2;4;6;8;10;10;10;9;8;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1;1;1;1;0.9;0.9;0.9;0.9;0.9;1;1;1;1;1;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;8;8;7;7;8;10;11;12;13;14;15;15;15;15;15;15;15;14;13;11;10;0.3;;;;;;;;;;;;;0.2;0.3;0.2;0.4;0.3;0.1;0.1;;;;;100;100;100;7;6;6;5;;12;29;41;36;62;100;100;100;100;100;100;100;100;100;;5
04.06.2022;10;10;12;14;13;13;14;15;16;17;18;18;18;16;14;15;14;13;13;12;11;11;11;11;1;1;1;1.1;1.1;1.1;1.2;1.3;1.4;1.5;1.5;1.5;1.6;1.6;1.5;1.5;1.5;1.4;1.3;1.2;1.1;1.1;1.1;1.1;9;9;9;9;9;9;9;5;5;5;5;6;6;6;6;6;6;6;6;6;6;8;6;6;9;9;11;12;12;12;11;11;12;13;14;15;14;13;11;11;11;11;11;11;12;12;12;12;;;;0.5;0.3;0.2;;0.1;;;;;;0.2;2.5;2.8;0.4;1.7;1;0.1;;;;;;;16;65;68;100;100;100;92;31;44;12;100;100;100;100;100;100;100;100;100;100;100;100
05.06.2022;12;10;10;11;11;11;11;10;11;11;11;11;11;10;10;9;9;9;9;9;8;8;9;8;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1;1;1;1;1;1;0.9;0.9;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.6;0.6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;12;12;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;11;;;;0.1;;;;0.5;0.1;0.1;0.1;0.1;0.1;0.1;0.3;0.9;0.5;0.8;0.9;0.5;1.1;1.3;0.6;0.2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
06.06.2022;8;6;6;6;6;5;5;5;5;6;7;7;6;6;6;5;6;5;4;4;3;3;4;4;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;7;7;7;7;7;7;7;7;10;10;10;10;10;10;7;6;6;6;6;6;6;10;10;10;11;10;10;10;10;10;10;11;11;11;11;12;13;13;13;13;14;14;14;14;14;13;11;10;0.1;0.1;;;;0.1;0.1;;;;;;;0.1;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99;99;46;6
07.06.2022;4;3;3;3;3;3;3;3;3;5;6;7;8;9;9;10;10;10;10;10;10;12;11;15;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.7;0.7;0.8;0.8;0.9;0.9;1;1;1;1.2;1.3;1.5;10;10;10;10;10;10;10;10;10;10;10;8;8;7;7;7;7;7;7;7;8;8;8;6;9;9;8;8;8;8;9;10;12;13;14;15;15;15;15;15;15;14;14;14;14;14;14;14;;;;;;;;;;;;;;;;;;0.2;0.4;0.2;0.4;0.4;0.2;0.1;19;15;15;100;100;100;99;17;49;;6;34;100;96;100;100;100;100;100;100;100;100;100;100
08.06.2022;15;15;15;13;11;12;11;12;11;13;14;14;13;14;15;15;15;15;15;13;12;11;9;8;1.6;1.8;1.9;1.9;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.7;1.7;1.7;1.8;1.9;1.9;1.9;1.9;1.8;1.8;1.7;1.7;1.6;6;6;7;7;7;8;8;8;8;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;14;13;13;13;13;12;12;13;13;15;15;16;15;17;18;18;17;17;17;16;15;14;13;12;;0.1;;;;;;;;;;;0.3;0.3;;;0.1;0.1;0.1;;;;;;100;73;50;41;100;100;43;100;100;91;10;52;100;81;6;7;7;6;;54;100;100;100;100
09.06.2022;8;10;10;9;9;9;12;11;13;16;15;17;16;16;18;19;20;19;19;18;17;17;16;15;1.5;1.5;1.4;1.4;1.4;1.3;1.3;1.3;1.3;1.4;1.6;1.8;1.9;1.9;1.9;2;2.1;2.1;2;2;2;2;1.9;1.9;8;8;8;8;8;8;8;8;8;5;6;6;6;7;7;7;7;7;7;7;7;7;7;7;11;12;11;12;12;12;12;13;13;14;14;14;15;17;18;18;17;17;17;16;15;14;14;13;;;;;0.2;0.2;1.1;0.4;0.8;1.7;0.9;0.6;0.1;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;81;26;;;;;10;67;7;68;83
10.06.2022;15;15;15;15;15;15;15;16;16;18;19;20;21;22;23;23;22;22;22;21;20;19;18;17;1.9;1.9;1.9;1.9;1.9;2;2;2.1;2.1;2.1;2.1;2.2;2.2;2.3;2.4;2.4;2.5;2.5;2.5;2.5;2.4;2.4;2.3;2.3;7;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;13;13;13;13;13;13;13;13;14;14;14;15;15;15;15;15;15;15;15;14;14;13;13;13;;;;;;;;;;0.1;0.1;0.2;0.1;0.1;;;0.1;;0.1;;;;;;100;23;15;6;;;6;5;6;9;16;15;6;6;6;5;;;;;15;10;17;19
11.06.2022;17;16;16;16;16;17;17;16;16;15;16;16;16;17;17;17;16;15;14;12;11;10;9;8;2.2;2.1;2.1;2.1;2.1;2;2;1.9;1.9;1.8;1.8;1.7;1.7;1.9;1.9;2;2.1;2;2;2;1.8;1.7;1.6;1.5;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;12;12;12;12;13;14;14;14;14;14;15;15;15;16;16;16;16;16;16;15;15;14;13;11;;;;;;;;;;;;;0.1;0.1;0.1;0.1;0.1;;0.3;0.2;0.1;;;;18;6;26;25;30;96;99;100;100;100;65;50;88;17;90;99;99;45;8;62;29;11;;23
12.06.2022;8;7;6;6;6;5;4;5;7;8;9;10;10;11;11;11;11;11;12;11;12;11;9;8;1.4;1.3;1.2;1.1;1.1;1;1;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.8;0.9;0.9;0.8;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;11;10;10;9;9;8;9;10;11;13;14;15;15;15;16;16;16;16;16;16;14;13;12;11;;0.1;;;;;;;;;;;0.1;;;;;;;;;;;;11;;100;;;;;;;;19;100;100;100;100;100;100;100;22;23;100;47;100;100
13.06.2022;7;7;6;4;4;3;3;4;4;4;4;4;6;7;9;9;10;11;9;9;9;8;7;7;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;6;6;6;6;6;5;5;5;5;5;5;6;6;5;5;3;3;3;3;3;3;4;4;4;10;9;9;8;8;8;8;10;11;13;14;14;15;15;14;15;15;15;14;14;14;13;13;13;;;;;;;;;;;;;;;;;;;;;;;;;50;27;12;17;15;6;22;23;23;42;18;62;100;99;100;100;100;91;99;100;100;100;100;100
14.06.2022;6;5;3;3;3;3;4;4;3;1;2;4;6;7;6;7;7;7;7;5;4;3;3;3;0.6;0.6;0.5;0.5;0.5;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;4;4;4;4;4;4;4;15;16;16;16;16;16;16;15;15;15;15;15;15;15;15;15;15;13;12;12;11;11;10;9;10;12;13;14;15;15;14;15;15;15;15;15;14;13;12;11;10;;0.1;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;99;100;97;40;50;24;90;24;14;17;9
15.06.2022;4;3;2;3;2;2;2;2;2;4;5;7;7;8;8;10;11;11;10;12;11;10;8;7;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.4;0.5;0.6;0.6;0.6;0.6;0.6;15;15;15;15;15;15;14;14;14;14;14;14;14;14;14;14;14;14;14;4;4;4;4;4;10;10;10;10;10;9;10;11;13;14;15;15;15;15;16;16;16;16;15;15;14;14;13;13;;;;;;;;;;;;;;;;;;;;;;;;;95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;6;7;6;29;100;7;11;17;38
16.06.2022;6;5;3;1;1;4;4;6;6;7;6;7;7;9;9;10;9;10;8;8;8;8;7;9;0.6;0.5;0.5;0.5;0.4;0.4;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;4;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;12;12;11;12;12;13;14;15;15;16;17;17;17;17;16;17;16;16;15;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;;48;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;28;100;100;100;100;100;100
17.06.2022;9;10;11;13;11;10;10;10;11;11;11;11;12;12;11;5;3;3;4;8;10;10;10;10;0.6;0.7;0.7;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.7;0.7;0.7;0.6;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;15;15;15;15;15;15;15;16;16;17;18;18;19;19;18;18;19;20;19;18;18;16;16;14;;;;;;;;;;;;;;;;;;;0.1;;;;;;94;100;100;84;18;100;98;100;100;100;100;100;47;21;100;100;100;94;100;100;100;100;100;93
18.06.2022;9;10;11;10;9;9;9;11;12;13;11;8;9;9;8;9;10;11;10;9;8;8;9;11;0.6;0.6;0.6;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;5;5;5;5;5;5;3;3;3;3;3;5;5;15;15;15;15;15;15;15;15;15;15;3;12;11;11;10;9;8;8;10;12;13;14;14;13;14;14;14;14;15;15;14;13;13;11;11;;;;;;;;;;;;;;;;;;;;;;;;;100;51;100;87;84;11;15;64;72;95;73;100;100;100;100;100;100;100;100;100;100;100;100;100
19.06.2022;10;12;9;8;8;10;11;13;14;14;14;13;12;13;14;13;12;11;11;10;10;9;8;11;0.5;0.5;0.5;0.4;0.4;0.4;0.5;0.5;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5;0.4;0.4;0.4;0.4;0.6;0.8;0.7;0.7;3;3;3;14;14;14;3;3;3;3;3;3;3;3;3;3;4;14;14;13;4;4;4;4;10;10;9;8;7;7;8;11;12;13;14;15;15;16;16;17;16;17;18;17;16;14;12;12;;;;;;;;;;;;0.1;0.1;;;;;0.1;;;;;;;100;25;99;88;19;76;100;100;60;79;87;96;100;42;100;75;100;100;98;58;43;;;
20.06.2022;13;12;12;12;11;10;10;8;10;9;8;5;3;2;0;5;7;7;8;8;8;8;8;6;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.5;0.5;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;4;3;3;3;3;3;3;3;3;3;3;13;13;13;13;13;13;13;13;13;13;13;13;13;11;10;9;9;8;7;7;9;11;13;15;16;17;18;18;18;17;17;16;15;15;14;13;12;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;10;15;6;6;6;39;54;100;100;100;100;100;100;94;8;;6;8
21.06.2022;4;5;6;7;6;6;6;4;4;5;5;4;3;4;5;5;4;4;5;1;2;1;2;3;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;13;13;13;13;13;13;13;12;12;12;12;12;12;17;17;16;16;12;12;12;12;12;12;12;12;12;11;10;9;9;10;12;14;15;16;17;18;17;17;17;18;18;18;18;17;17;16;15;;;;;;;;;;;;;;;;;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;82;100;100;12;13;100;100;100;100;100;100;100;100;95;100;97;91;100;100;100;100;100;100;100
22.06.2022;2;3;4;4;4;4;4;4;5;4;3;2;4;5;7;6;5;5;4;4;4;4;3;3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;15;16;16;16;16;16;16;15;15;15;11;11;11;11;14;15;15;15;15;15;15;15;15;14;15;15;15;15;15;15;15;15;16;17;18;19;19;19;18;17;17;17;17;17;17;17;16;15;0.1;;;;;;;;;;0.1;0.1;;0.1;0.1;;;;;0.1;;;;;100;100;100;100;100;100;100;100;100;93;100;95;100;100;99;99;100;100;100;100;100;100;67;7
23.06.2022;4;5;4;4;4;3;3;3;2;1;4;6;7;9;10;11;11;12;12;12;12;12;12;13;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;0.9;0.9;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;3;4;4;4;5;5;5;15;16;16;16;16;15;15;15;16;17;18;18;18;18;18;18;18;17;16;16;15;15;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;99;99;99;99;95;85;86;57;;;;;;;;;;;;;;;
24.06.2022;13;11;10;6;6;7;10;10;12;12;13;14;13;15;17;16;14;12;9;13;6;10;19;22;0.9;0.8;0.7;0.7;0.6;0.6;0.6;0.7;0.7;0.8;0.9;0.9;1;1.3;1.6;1.7;1.6;1.5;1.4;1.5;1.4;1.6;2.1;2.1;5;4;4;4;4;4;4;4;4;4;4;4;5;5;5;6;6;6;6;6;6;6;6;7;14;14;13;12;13;14;15;15;15;15;15;15;14;14;14;15;16;16;16;14;14;13;11;10;;;;;;0.1;0.1;0.1;0.1;0.2;0.3;0.4;1;4;2.5;0.7;0.4;;0.6;0.3;0.1;0.2;0.5;1.6;;;;48;100;100;100;100;100;100;100;100;100;100;100;100;100;;15;37;64;92;100;100
25.06.2022;17;16;14;13;15;16;16;15;15;16;16;17;17;18;19;19;19;20;22;21;22;22;23;22;1.9;1.8;1.7;1.6;1.6;1.7;1.7;1.6;1.6;1.5;1.5;1.5;1.6;1.7;1.7;1.8;1.8;1.9;2.1;2.2;2.3;2.4;2.6;2.7;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;10;10;10;11;10;10;10;11;12;13;13;13;14;14;14;14;13;13;13;12;11;11;12;12;0.4;3.3;0.7;0.1;0.1;;;;;0.1;0.2;0.3;0.3;0.4;0.3;0.2;0.2;0.1;0.1;0.5;0.6;0.5;0.9;0.4;100;100;100;100;100;100;93;100;100;100;77;89;100;100;100;100;100;100;100;89;100;100;100;100
26.06.2022;23;23;20;20;21;19;18;21;19;18;19;18;18;17;17;16;14;11;11;11;12;12;10;10;2.7;2.7;2.7;2.6;2.5;2.5;2.5;2.5;2.4;2.4;2.3;2.2;2.2;2;2;2;1.9;1.8;1.7;1.6;1.5;1.5;1.4;1.3;7;7;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;12;12;13;12;12;12;12;12;12;12;14;14;15;16;16;16;16;15;15;14;13;13;12;12;0.5;3.5;3;0.1;0.3;1.5;1.1;1.5;0.7;0.1;0.3;0.4;0.3;0.3;0.3;0.5;0.6;0.8;0.6;0.6;0.5;0.1;;;100;100;100;100;100;100;100;100;100;100;100;22;9;100;45;36;100;86;100;100;100;100;83;97
27.06.2022;8;8;8;7;7;8;8;8;8;9;9;10;13;14;17;18;16;14;16;18;19;19;20;21;1.2;1.1;1;1;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.7;0.8;0.8;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;2;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;5;5;5;5;6;6;6;6;6;11;11;9;9;8;8;8;9;11;12;13;14;14;14;15;14;13;13;13;14;14;14;14;14;;;;;;;;;;;;;;0.1;0.1;;0.1;0.1;0.1;;;;;;100;100;65;8;;5;6;6;15;94;100;100;100;100;100;100;100;100;100;77;69;100;100;100
28.06.2022;22;22;23;24;24;26;23;25;24;18;18;18;20;21;20;19;18;17;15;15;13;13;12;11;2.2;2.2;2.4;2.7;2.8;3;3.1;3.3;3.4;3.1;3;2.8;2.7;2.8;2.8;2.7;2.6;2.5;2.4;2.4;2.3;2.2;2.1;2;7;7;7;7;7;8;8;8;8;9;9;9;9;9;8;8;8;8;8;9;9;9;9;8;14;14;14;14;14;14;14;15;15;15;15;16;16;16;16;16;15;15;15;15;14;14;13;13;0.3;0.4;0.3;0.5;2.5;2.9;3.4;2.9;2.2;0.4;0.5;0.1;;0.1;0.1;;0.1;;;;;;;;100;100;100;100;100;100;100;100;100;100;34;62;;10;15;62;60;57;7;68;100;100;100;100
